objid,specobjid,class,run,rerun,camcol,field,ra,dec,redshift,dered_u,deVRad_u,psffwhm_u,extinction_u,dered_g,deVRad_g,psffwhm_g,extinction_g,dered_r,deVRad_r,psffwhm_r,extinction_r,dered_i,deVRad_i,psffwhm_i,extinction_i,dered_z,deVRad_z,psffwhm_z,extinction_z,u_g,g_r,r_i,i_z
1237679478006939696,7.34201346828195e+18,STAR,7917,301,4,101,359.405267755287,22.7054890730399,8.972188e-05,23.619,0.0009065769,1.465978,0.3076394,21.68057,0.3663675,1.532796,0.2397105,20.61951,0.3691266,1.185375,0.1658306,19.68463,0.8408672,1.133462,0.1232299,20.49845,0.2639348,1.162716,0.09166043,2.006355,1.134945,0.9774799,-0.7822495
1237661873491214795,1.2097869954436846e+19,STAR,3818,301,5,381,226.393112212993,37.4401008860351,6.303811e-06,24.77825,0.0004483292,1.111731,0.06790996,22.40371,0.06137808,1.016869,0.05291498,20.68868,0.07980905,0.9384835,0.03660634,19.23367,0.0004363945,0.8647498,0.02720243,18.46247,0.03860801,0.8912956,0.02023361,2.389528,1.731346,1.464411,0.7781658
1237664835384115244,5.063210457328013e+18,STAR,4508,301,2,16,116.61967754591,14.9005428109487,0.0004022165,24.29187,0.4109107,1.518713,0.1702772,21.32176,0.003624729,1.259551,0.1326788,20.69435,0.0001660598,1.190418,0.09178659,20.64621,0.1226835,1.045769,0.06820727,20.58525,0.1261288,1.019848,0.05073368,3.007704,0.6683064,0.07172203,0.07842827
1237665369578537262,1.2818536333774705e+19,STAR,4632,301,5,136,161.744698021415,31.1495570004451,0.0001579274,22.00459,0.4564488,1.202427,0.09243534,21.13667,0.1942066,1.09843,0.07202499,20.72699,0.0002138616,1.227848,0.04982655,20.55158,0.00109245,1.054884,0.03702647,20.6468,0.0002549548,0.9039435,0.02754089,0.8883343,0.4318714,0.1882114,-0.08573723
1237661949186277521,6.104713507969978e+18,STAR,3836,301,2,324,197.703509597537,11.6065127751539,0.0005537558,23.10966,2.596159e-06,1.556727,0.1136673,20.90317,0.007308537,1.278027,0.08856881,20.69444,9.672671e-06,1.255167,0.0612715,20.60767,0.1278194,1.21026,0.04553129,20.54074,0.003745693,1.163942,0.03386691,2.231583,0.2360344,0.1025105,0.0785923
1237665549960282344,6.757921548261413e+18,STAR,4674,301,5,31,207.280259400073,26.2915188168007,0.000169743,21.43236,0.0003372,1.740108,0.04882593,20.8685,0.1452038,1.711036,0.03804484,20.75798,9.433513e-06,1.576464,0.02631924,20.87082,0.001679975,1.408993,0.01955802,20.6543,0.306487,1.469006,0.01454757,0.5746441,0.122242,-0.1060772,0.2215328
1237655129844680145,1.227696583216964e+19,STAR,2248,301,4,213,257.075921399602,33.657606513625,8.160169e-05,25.21522,0.0002336426,1.199286,0.1058132,22.02735,0.3101609,1.152592,0.08244894,20.72677,0.1117628,1.119502,0.05703779,19.67386,0.06315624,1.056769,0.04238519,19.12119,0.08945142,0.9803051,0.0315268,3.211239,1.325983,1.067564,0.5635357
1237662237466100264,6.075535767249375e+18,STAR,3903,301,3,21,184.207958630835,9.8393797392347,0.0009861495,24.82384,0.02777312,1.486797,0.08295371,21.22814,0.2168761,1.270621,0.06463697,20.72277,0.0003403852,1.144071,0.04471555,20.48509,0.0787068,1.198036,0.03322845,20.45271,0.0001642611,1.086673,0.02471586,3.614017,0.5252857,0.2491722,0.04089355
1237671266034909895,5.354958722056868e+18,STAR,6005,301,4,184,191.657391277829,3.06845060723513,0.0001143131,22.22581,0.604965,1.251539,0.1003521,20.78361,0.1143134,1.396446,0.07819366,20.66078,0.1077343,1.017268,0.05409402,20.66199,0.07873493,0.8902804,0.04019765,20.71507,0.1521713,0.8877391,0.02989967,1.464359,0.1469288,0.01268959,-0.04278564
1237659161200099776,9.580366276670542e+18,STAR,3187,301,1,87,238.161724068671,41.589156265487,0.0003687509,21.9442,0.4911327,1.230865,0.06538623,20.97359,0.1171088,1.139748,0.05094851,20.71501,0.0008880344,0.8852956,0.03524594,20.60017,0.06318739,0.8967447,0.02619151,20.59991,0.6446295,1.028154,0.01948167,0.9850426,0.2742901,0.1238918,0.006967545
